Country,Cases,Deaths,Category,AsOf
Belgium,744,1,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Brazil,6448,2,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Central African Republic,8,2,Has historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Cuba,2,1,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Ecuador,68,1,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Ghana,84,4,Has historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
India,12,1,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Nigeria,277,4,Has historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Spain,6947,2,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Sudan,6,1,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
United States,23116,1,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Andorra,4,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Argentina,221,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Aruba,3,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Australia,132,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Austria,300,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Bahamas,2,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Barbados,1,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Benin,3,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Bermuda,1,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Bolivia,129,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Bosnia and Herzegovina,3,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
Bulgaria,6,0,Has not historically reported monkeypox,Data as of 16 Sep 2022 5:00 PM EDT
